Image_Key,Canton,Latitude,Longitude,Camera_Angle,Sequence_Key,Captured_At,Panorama
aAzKjctfPf2VPg8WPU-9aQ,LU,47.0762791,8.2929257,158.472,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
WpsaRhqgNmNIUm4p6ivNNg,LU,47.0754295,8.2934449,158.677,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
SGA-prj65dOLgxMNvqqcCA,LU,47.0745915,8.2940477,155.777,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
USOsV0r3zH7JQlnXR0sXag,LU,47.0737083,8.2946494,148.447,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
geGUYyCDbd6kAEDg5dT12A,LU,47.0727915,8.2952047,163.701,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
i6AOTO9eXiK0FmKBK5zFFA,LU,47.0719017,8.2956967,162.207,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
ne7ThSa70kb4ed8ZoqmsHw,LU,47.070966,8.2956944,198.528,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
d54dqSpGmd3FXmF17IGucQ,LU,47.0700209,8.2951769,208.983,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
x7eQ-4S1RlIsjRxrcwjtEA,LU,47.0692616,8.2942982,220.997,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
YbgpMHctTryHSqgs8pHW9g,LU,47.068645,8.2931084,234.817,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
oL0ej8qX1-yHZlSKSaKB7A,LU,47.0681359,8.2918852,243.338,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
d0As5H1BMzCB_WF_NOm0og,LU,47.0675412,8.2906451,232.182,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
gVvHYxwTesxeUtMUr5QoBA,LU,47.0669543,8.2895145,228.246,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
LAL1_epP41SAYCbJn0Zpag,LU,47.0663765,8.2884933,247.676,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
FkJZoy37mNVgp9bad285XA,LU,47.0657834,8.287392,226.744,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
xIskkjuIctgWO2t5_5c9Bw,LU,47.0649373,8.2864854,199.714,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
tI8Tb2sHKlRjSEJG9m8lDw,LU,47.0639754,8.2863124,171.971,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
noy2us0DIUzl7GZ2LTqpXw,LU,47.0629483,8.2866384,165.235,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
GekIltXwFz_qhvmrngLREg,LU,47.0619809,8.2871155,146.417,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
HWSKIyjvE89UWXnW-cuwgw,LU,47.0610929,8.287605,147.563,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
webaqrLCwdDo3Lt82F6Ekg,LU,47.0601817,8.2880943,156.75,vy5c09dcwf8ci9k5cy4esq,2019-12-22T11:03:01.907Z,False
yg5ED_3i19YBhuv9txG5FA,LU,47.0520439,8.3043829,141.833,l49h4bdn7t3ncsxjd8ta2c,2019-12-18T14:29:48.469Z,False
0EZf9BX4yrjY0qseYImUtg,LU,47.05223,8.304616,43.8236,l49h4bdn7t3ncsxjd8ta2c,2019-12-18T14:29:48.469Z,False
i25Yy4tVRF9dQGtwxqTLcQ,LU,47.0523827,8.304877,40.7337,l49h4bdn7t3ncsxjd8ta2c,2019-12-18T14:29:48.469Z,False
tMZlPyue7T2KGNqpzoBMwg,LU,47.0525208,8.3051837,40.3361,l49h4bdn7t3ncsxjd8ta2c,2019-12-18T14:29:48.469Z,False
